date,year,quarter,gdp
2005-03-01,2005,1,142588340.0
2005-06-01,2005,2,163510888.0
2005-09-01,2005,3,186658293.0
2005-12-01,2005,4,187518326.0
2006-03-01,2006,1,162557040.0
2006-06-01,2006,2,194686248.0
2006-09-01,2006,3,218698673.0
2006-12-01,2006,4,219815148.0
2007-03-01,2007,1,191184952.0
2007-06-01,2007,2,214335140.0
2007-09-01,2007,3,239214245.0
2007-12-01,2007,4,242980077.0
2008-03-01,2008,1,219835022.0
2008-06-01,2008,2,251530360.0
2008-09-01,2008,3,270738751.0
2008-12-01,2008,4,260652364.0
2009-03-01,2009,1,212877604.0
2009-06-01,2009,2,242954168.0
2009-09-01,2009,3,273699961.0
2009-12-01,2009,4,276840750.0
2010-03-01,2010,1,241906377.0
2010-06-01,2010,2,280563140.0
2010-09-01,2010,3,320736256.0
2010-12-01,2010,4,324458706.0
2011-03-01,2011,1,292851214.0
2011-06-01,2011,2,338785261.0
2011-09-01,2011,3,384630842.0
2011-12-01,2011,4,388660298.0
2012-03-01,2012,1,335737809.0
2012-06-01,2012,2,385033719.0
2012-09-01,2012,3,427747163.0
2012-12-01,2012,4,432960560.0
2013-03-01,2013,1,388660855.0
2013-06-01,2013,2,444833479.0
2013-09-01,2013,3,494782613.0
2013-12-01,2013,4,495150368.0
2014-03-01,2014,1,454056288.0
2014-06-01,2014,2,490144355.0
2014-09-01,2014,3,551348075.0
2014-12-01,2014,4,559349110.0
2015-03-01,2015,1,500472611.0
2015-06-01,2015,2,566138634.0
2015-09-01,2015,3,634505317.0
2015-12-01,2015,4,649824781.0
2016-03-01,2016,1,567941668.0
2016-06-01,2016,2,635574637.0
2016-09-01,2016,3,670483688.0
2016-12-01,2016,4,752559717.0
2017-03-01,2017,1,654453583.0
2017-06-01,2017,2,740272382.0
2017-09-01,2017,3,839912110.0
2017-12-01,2017,4,899066192.0
2018-03-01,2018,1,796446446.0
2018-06-01,2018,2,898233336.0
2018-09-01,2018,3,1036750263.0
2018-12-01,2018,4,1027343682.0
2019-03-01,2019,1,924497802.0
2019-06-01,2019,2,1028961075.0
2019-09-01,2019,3,1156341166.0
2019-12-01,2019,4,1201932723.0
2020-03-01,2020,1,1070586301.0
2020-06-01,2020,2,1037572195.0
2020-09-01,2020,3,1415193268.0
2020-12-01,2020,4,1524868303.0
2021-03-01,2021,1,1395931478.0
2021-06-01,2021,2,1592926230.0
2021-09-01,2021,3,1931231423.0
2021-12-01,2021,4,2328699852.0
2022-03-01,2022,1,2508272898.0
2022-06-01,2022,2,3425340535.0
2022-09-01,2022,3,4258167547.0
