|||Columns||||||||||||
Rows|||Turkey||||||||||||
|||||||||||||||
|||01-January|02-February|03-March|04-April|05-May|06-June|07-July|08-August|09-September|10-October|11-November|12-December|
Consumer Confidence Index (Seasonally Adjusted)|Measurement level|2012|92.7|94.0|93.3|88.9|91.8|91.1|91.9|89.9|89.1|85.3|89.9|89.3|
||2013|91.8|92.0|92.2|92.8|95.4|94.4|95.9|94.9|91.5|93.7|96.8|94.4|
||2014|91.8|89.5|92.6|97.4|95.0|93.2|93.1|93.2|94.1|91.7|90.9|90.4|
||2015|89.6|89.1|86.7|87.5|86.7|89.3|87.5|84.8|82.2|86.3|95.2|93.6|
||2016|92.2|90.0|90.1|91.3|91.5|91.6|88.9|94.7|94.8|95.3|91.6|87.4|
||2017|88.7|88.0|90.1|92.0|94.0|92.3|92.4|93.0|92.0|89.9|87.6|88.2|
||2018|92.7|93.4|92.5|91.7|90.7|90.6|92.1|88.2|81.1|78.8|81.2|80.1|
||2019|80.5|79.2|81.3|83.6|76.9|79.8|78.3|79.1|77.7|78.5|81.3|80.7|
||2020|81.4|79.6|81.1|78.1|82.7|82.7|82.3|79.4|82.0|81.9|80.1|80.1|
||2021|83.3|84.5|86.7|80.2|77.3|81.7|79.5|78.2|79.7|76.8|71.1|68.9|
||2022|73.2|71.2|72.5|67.3|67.6|63.4|68.0|72.2|72.4|76.2|76.6||
|||||||||||||||
