|||Columns||||||||||||||||||||||||
Rows|||Turkey||||||||||||||||||||||||
|||TRY. (Turkish Lira)||||||||||||USD. (Us Dollar)||||||||||||
|||01-January|02-February|03-March|04-April|05-May|06-June|07-July|08-August|09-September|10-October|11-November|12-December|01-January|02-February|03-March|04-April|05-May|06-June|07-July|08-August|09-September|10-October|11-November|12-December|
Export Unit Value Index (2010=100)|2005||78.4|75.8|76.6|78.3|78.9|77.8|75.7|76.0|76.6|76.0|75.6|75.1|86.8|86.5|87.9|86.6|86.6|85.9|85.0|85.0|85.9|84.2|83.6|83.4|
|2006||76.6|75.5|76.8|78.2|85.1|95.7|93.6|88.4|86.4|86.2|86.0|87.6|86.3|85.5|86.6|88.0|90.4|90.2|90.1|90.3|87.9|87.3|88.7|91.8|
|2007||88.2|86.9|88.7|87.5|87.6|86.6|86.1|87.2|84.8|83.5|85.3|86.0|93.0|93.5|94.7|96.7|98.5|98.5|101.1|99.6|100.8|104.4|107.8|109.6|
|2008||86.7|89.0|96.0|103.2|100.3|101.2|103.6|98.1|100.2|107.6|105.6|102.1|110.7|112.1|116.8|119.2|120.5|123.4|128.1|125.0|121.8|108.0|99.5|99.2|
|2009||101.3|100.6|102.2|98.5|97.3|99.3|98.1|97.4|99.4|99.2|102.2|102.4|95.1|90.9|89.8|91.7|93.8|96.4|97.1|98.6|100.2|101.5|103.3|102.2|
|2010||99.0|99.3|100.8|99.1|100.5|100.8|100.1|98.6|99.0|98.3|99.5|105.0|100.9|98.6|98.7|99.7|97.9|96.1|98.8|98.2|99.4|103.7|104.1|103.9|
|2011||111.2|115.8|117.5|116.1|119.3|122.2|126.2|132.5|132.5|133.3|131.9|134.4|107.0|109.5|111.7|114.6|114.0|114.7|114.7|113.5|110.7|109.3|109.5|108.3|
|2012||132.8|128.5|130.0|129.8|129.2|129.1|128.9|128.6|130.5|130.6|129.7|130.6|108.2|109.7|109.3|109.2|107.6|106.5|106.9|107.7|108.8|108.9|108.2|109.8|
|2013||130.53|131.17|131.59|129.69|131.25|137.1|138.26|141.34|144.39|142.47|144.69|148.28|110.8|111.03|109.29|108.36|108.12|108.6|107.53|108.16|107.44|107.47|107.46|108.16|
|2014||161.5|159.45|158.89|153.04|150.47|153.36|154.56|154.43|154.86|157.64|154.9|157.11|109.25|108.26|107.58|107.95|108.02|108.71|109.52|107.31|105.5|104.84|104.12|103.13|
|2015||158.01|163.92|168.46|172.38|174.33|177.07|174.79|181.61|189.75|183.37|175.85|178.58|101.67|100.24|97.91|97.64|98.93|98.44|97.37|95.67|94.95|93.94|91.91|91.9|
|2016||182.27|179.42|176.66|175.15|181.8|181.34|183.54|184.01|183.31|188.77|198.5|212.44|90.9|91.62|91.67|92.7|93.07|93.36|93.01|93.26|93.03|92.33|91.41|91.47|
|2017||228.47|223.37|222.03|222.38|219.09|219.18|222.56|221.38|221.84|231.95|246.05|247.12|91.45|91.32|90.91|91.48|92.26|93.47|93.85|94.63|95.83|95.09|95.27|96.42|
|2018||246.29|247.61|253.61|266.35|284.39|297.96|303.29|360.22|396.24|361.85|331.11|326.61|97.99|98.36|98.01|98.55|96.77|97.06|95.8|94.06|93.69|92.84|92.46|92.37|
|2019||331.61|323.5|333.26|350.51|368.72|357.3|348.44|340.46|344.27|347.75|346.12|355.51|92.71|92.26|91.91|91.54|91.56|92.44|92.24|90.71|90.52|90.25|90.65|91.38|
|2020||362.6|366.55|375.98|400.22|408.45|407.7|414.05|443.45|453.53|476.77|485.63|483.1|92.01|90.93|89.65|88.04|88.35|89.86|90.73|91.52|90.63|90.75|91.34|93.97|
|||||||||||||||||||||||||||
