date,year,month,current_account_deficit
2005-01-01,2005,1,-1445
2005-02-01,2005,2,-2302
2005-03-01,2005,3,-2232
2005-04-01,2005,4,-2336
2005-05-01,2005,5,-2071
2005-06-01,2005,6,-1938
2005-07-01,2005,7,-818
2005-08-01,2005,8,-876
2005-09-01,2005,9,-18
2005-10-01,2005,10,-651
2005-11-01,2005,11,-2554
2005-12-01,2005,12,-3739
2006-01-01,2006,1,-2436
2006-02-01,2006,2,-3223
2006-03-01,2006,3,-3054
2006-04-01,2006,4,-3745
2006-05-01,2006,5,-4035
2006-06-01,2006,6,-2685
2006-07-01,2006,7,-1644
2006-08-01,2006,8,-1376
2006-09-01,2006,9,-1336
2006-10-01,2006,10,-2074
2006-11-01,2006,11,-2821
2006-12-01,2006,12,-2732
2007-01-01,2007,1,-3115
2007-02-01,2007,2,-3078
2007-03-01,2007,3,-2985
2007-04-01,2007,4,-3208
2007-05-01,2007,5,-3487
2007-06-01,2007,6,-2983
2007-07-01,2007,7,-2680
2007-08-01,2007,8,-1479
2007-09-01,2007,9,-2132
2007-10-01,2007,10,-3211
2007-11-01,2007,11,-3338
2007-12-01,2007,12,-5250
2008-01-01,2008,1,-4035
2008-02-01,2008,2,-3747
2008-03-01,2008,3,-4141
2008-04-01,2008,4,-5013
2008-05-01,2008,5,-4561
2008-06-01,2008,6,-5259
2008-07-01,2008,7,-3684
2008-08-01,2008,8,-2654
2008-09-01,2008,9,-658
2008-10-01,2008,10,-2280
2008-11-01,2008,11,-354
2008-12-01,2008,12,-3039
2009-01-01,2009,1,-330
2009-02-01,2009,2,-150
2009-03-01,2009,3,-1080
2009-04-01,2009,4,-1384
2009-05-01,2009,5,-1361
2009-06-01,2009,6,-1912
2009-07-01,2009,7,-165
2009-08-01,2009,8,-169
2009-09-01,2009,9,-649
2009-10-01,2009,10,684
2009-11-01,2009,11,-1673
2009-12-01,2009,12,-3171
2010-01-01,2010,1,-2912
2010-02-01,2010,2,-2019
2010-03-01,2010,3,-4073
2010-04-01,2010,4,-4127
2010-05-01,2010,5,-2655
2010-06-01,2010,6,-3083
2010-07-01,2010,7,-3213
2010-08-01,2010,8,-2648
2010-09-01,2010,9,-3473
2010-10-01,2010,10,-3051
2010-11-01,2010,11,-5874
2010-12-01,2010,12,-7492
2011-01-01,2011,1,-5872
2011-02-01,2011,2,-5903
2011-03-01,2011,3,-9407
2011-04-01,2011,4,-7485
2011-05-01,2011,5,-7637
2011-06-01,2011,6,-7559
2011-07-01,2011,7,-5089
2011-08-01,2011,8,-3681
2011-09-01,2011,9,-6058
2011-10-01,2011,10,-4084
2011-11-01,2011,11,-5179
2011-12-01,2011,12,-6448
2012-01-01,2012,1,-5749
2012-02-01,2012,2,-4202
2012-03-01,2012,3,-6210
2012-04-01,2012,4,-4512
2012-05-01,2012,5,-5240
2012-06-01,2012,6,-3876
2012-07-01,2012,7,-3995
2012-08-01,2012,8,-1169
2012-09-01,2012,9,-2502
2012-10-01,2012,10,-1051
2012-11-01,2012,11,-3991
2012-12-01,2012,12,-4781
2013-01-01,2013,1,-5431
2013-02-01,2013,2,-4690
2013-03-01,2013,3,-4676
2013-04-01,2013,4,-6669
2013-05-01,2013,5,-6193
2013-06-01,2013,6,-3813
2013-07-01,2013,7,-5636
2013-08-01,2013,8,-1740
2013-09-01,2013,9,-2542
2013-10-01,2013,10,-2765
2013-11-01,2013,11,-3241
2013-12-01,2013,12,-7696
2014-01-01,2014,1,-4519
2014-02-01,2014,2,-2703
2014-03-01,2014,3,-3264
2014-04-01,2014,4,-4201
2014-05-01,2014,5,-2709
2014-06-01,2014,6,-3599
2014-07-01,2014,7,-1785
2014-08-01,2014,8,-1342
2014-09-01,2014,9,-1549
2014-10-01,2014,10,-1624
2014-11-01,2014,11,-4849
2014-12-01,2014,12,-5876
2015-01-01,2015,1,-1678
2015-02-01,2015,2,-2943
2015-03-01,2015,3,-4309
2015-04-01,2015,4,-3324
2015-05-01,2015,5,-3539
2015-06-01,2015,6,-2616
2015-07-01,2015,7,-2756
2015-08-01,2015,8,985
2015-09-01,2015,9,422
2015-10-01,2015,10,-21
2015-11-01,2015,11,-1703
2015-12-01,2015,12,-5143
2016-01-01,2016,1,-1978
2016-02-01,2016,2,-1681
2016-03-01,2016,3,-3331
2016-04-01,2016,4,-2450
2016-05-01,2016,5,-2742
2016-06-01,2016,6,-4618
2016-07-01,2016,7,-2120
2016-08-01,2016,8,-624
2016-09-01,2016,9,-911
2016-10-01,2016,10,-489
2016-11-01,2016,11,-1441
2016-12-01,2016,12,-4283
2017-01-01,2017,1,-2454
2017-02-01,2017,2,-1972
2017-03-01,2017,3,-2869
2017-04-01,2017,4,-3088
2017-05-01,2017,5,-4400
2017-06-01,2017,6,-3514
2017-07-01,2017,7,-4195
2017-08-01,2017,8,110
2017-09-01,2017,9,-3992
2017-10-01,2017,10,-2849
2017-11-01,2017,11,-3462
2017-12-01,2017,12,-7270
2018-01-01,2018,1,-6916
2018-02-01,2018,2,-4323
2018-03-01,2018,3,-4543
2018-04-01,2018,4,-5110
2018-05-01,2018,5,-5615
2018-06-01,2018,6,-3043
2018-07-01,2018,7,-1881
2018-08-01,2018,8,2704
2018-09-01,2018,9,2818
2018-10-01,2018,10,3930
2018-11-01,2018,11,2408
2018-12-01,2018,12,-543
2019-01-01,2019,1,-105
